file_id,activity,path,mean_entropy,mean_power,variance,stddev,max_vel,amp_density,kurtosis,zernike_moment,periodicity,mean_torso_power,pos_neg_ratio,doppler_offset,main_lobe_width,auto_correlation,envelope_width,limb_asymmetry,limb_power,limb_smoothness,clean_kurtosis,motion_duration,doppler_peak_velocity,doppler_symmetry_index,cepstral_entropy,range_bin_span,doppler_bandwidth,skew_val,contrast,dissimilarity,homogeneity,energy,correlation,ASM
1P36A01R01,walking,..\datasets\1 December 2017 Dataset\1P36A01R01.dat,9.109771985351077,26700439.763011422,1.046785037141724e+17,323540575.0662077,0.9051724137931034,0.000609072375127421,505.32514778142695,0.08614579494562596,0.9985087635899841,85799856.96750624,0.8499672681829914,-0.047759125041452244,2.0689655172413794,0.9985087635899841,25.829741379310345,25.829741379310345,13499106369109.52,0.0,773.9037508196355,1.52,-0.9375,-0.08110020885092079,0.9222108066085204,6.0,0.8343797268526683,4.2696304697033876,7.447354775090255,0.21403396074513098,0.9805719675767332,0.967347299885074,0.905132715720705,0.9357622531360916
1P36A01R02,walking,..\datasets\1 December 2017 Dataset\1P36A01R02.dat,9.025275703052056,19598702.738810316,6.906348346949903e+16,262799321.66864327,1.0991379310344827,0.0005198776758409786,721.7262354777494,0.1132709818663244,0.9944159849261963,71791145.4331368,1.5303227206655377,0.2794230918134808,0.2586206896551724,0.9944159849261963,25.829741379310345,25.829741379310345,8888581733298.242,0.0,1187.3914245331084,1.07,1.0021551724137931,0.20958698917506058,0.9408325882896018,6.0,0.836026674697554,5.1088613474135505,5.321964688351295,0.16315159235758156,0.9822161711575107,0.9692037589783957,0.9063786968455756,0.9393573133961645
1P36A01R03,walking,..\datasets\1 December 2017 Dataset\1P36A01R03.dat,8.91411302322406,19453867.803698998,7.617442904663525e+16,275997154.05531853,0.9698275862068966,0.0006918960244648319,700.990138536906,0.16376158576327546,0.9984369524976255,64830773.879436076,2.064458822465369,0.36425027137343396,0.19396551724137934,0.9984369524976255,25.829741379310345,25.829741379310345,11077486365343.04,0.0,907.3115287045582,1.37,0.9051724137931034,0.3473562165893316,0.921221704087279,6.0,0.7629721140739848,7.225159084472268,6.635098171791409,0.17221554230053346,0.9828665035625603,0.9683178047076436,0.905835641420426,0.9376410522004726
1P37A01R01,walking,..\datasets\1 December 2017 Dataset\1P37A01R01.dat,9.233686413508847,23662163.567382146,6.903489220225078e+16,262744918.50890434,0.6788793103448276,0.0010524974515800205,370.18951842985143,0.13826635488199834,0.9974987610575683,97691600.71502124,0.7492435668955311,-0.11384237685202006,0.2262931034482759,0.9974987610575683,25.829741379310345,25.829741379310345,13097596623452.816,0.0,526.3738191130974,2.54,-0.7112068965517241,-0.14335135360794746,0.9926408910489048,6.0,0.7159291529962365,4.743295913153233,10.940441814754221,0.28155364719787096,0.9773303672247036,0.964781498065153,0.9073533072233848,0.9308045891356016
1P37A01R02,walking,..\datasets\1 December 2017 Dataset\1P37A01R02.dat,9.187234348015318,24116052.876761585,7.59674943576967e+16,275622013.55787367,0.8405172413793104,0.0009454638124362895,389.1774477199615,0.13388061250512193,0.9974392642309741,123955537.68486239,0.9173164016226915,-0.03909115011314977,1.9073275862068966,0.9974392642309741,25.829741379310345,25.829741379310345,13864547402267.44,0.0,526.5646134757206,2.0100000000000002,0.8405172413793104,-0.0431246498008002,0.9829897182713903,6.0,0.7383187973017709,3.9530439563248767,9.887032022980815,0.2600715289575011,0.9782390066554043,0.9651094008641974,0.9068916388062365,0.9314374201555129
1P37A01R03,walking,..\datasets\1 December 2017 Dataset\1P37A01R03.dat,9.277322194466677,25748132.766647052,7.88519819604215e+16,280805950.7211724,-0.7435344827586207,0.0009900611620795106,361.3831054749153,0.1444109817982658,0.9963319786337603,122640366.45245638,0.7280694573235835,-0.12056608594613027,0.2262931034482758,0.9963319786337603,25.829741379310345,25.829741379310345,13595487109074.607,0.0,494.1323531209967,2.56,-0.7758620689655172,-0.15736088704303616,0.9865670027221616,5.0,0.7432067604454736,4.785446907003006,10.253864721564335,0.2771645134363252,0.9767418528907137,0.9626155027130268,0.9063781071699994,0.9266299777378573
1P38A01R01,walking,..\datasets\1 December 2017 Dataset\1P38A01R01.dat,9.140249088565541,26205884.924187493,9.122602642328539e+16,302036465.3866903,0.8081896551724138,0.0007428644240570846,421.24888986196123,0.12265860027024994,0.994955861927378,143392920.05263412,1.5748900360752052,0.18251268386680702,0.19396551724137934,0.994955861927378,25.829741379310345,25.829741379310345,16197564920287.14,0.0,536.2448045944593,2.0,0.8405172413793104,0.2232678009626719,1.0328655330396947,5.0,0.70576414876367,4.633601097067441,8.316688878676244,0.23929535438643784,0.9798166335138321,0.9686956217239787,0.906665731234748,0.938372474384546
1P38A01R02,walking,..\datasets\1 December 2017 Dataset\1P38A01R02.dat,9.29150921856291,18616922.434942663,4.2187543660616056e+16,205396065.34842885,0.4849137931034483,0.0006345565749235475,410.3544271753183,0.08965461921932191,0.9963433765384219,71898841.7514714,1.4446501292448337,0.11689700883502155,0.2586206896551725,0.9963433765384219,25.829741379310345,25.829741379310345,12332640910974.0,0.0,482.37922195634707,1.1300000000000001,0.9051724137931034,0.18188702093832476,0.9953748929352829,5.0,0.8512558094393118,3.60036701700012,7.3313374332261105,0.23124119208163885,0.9772830593578602,0.9626095460151883,0.911465452702501,0.9266185179903622
1P38A01R03,walking,..\datasets\1 December 2017 Dataset\1P38A01R03.dat,9.258550565668385,21049239.033344973,5.631025997236739e+16,237297829.6832219,0.8405172413793104,0.0008193170234454638,433.21098170533907,0.09008239155916514,0.9962953373284646,63116439.078918345,1.2519519637191943,0.11250465165277432,0.16163793103448287,0.9962953373284646,25.829741379310345,25.829741379310345,13872707635330.25,0.0,505.97245841284064,2.3000000000000003,0.9375,0.11188158885196005,0.9996454653450063,6.0,0.9154212762097506,5.37016803560789,8.831640648865,0.2480498681134835,0.9770356995599029,0.9629218169072649,0.908684519076566,0.9272198095053586
1P39A01R01,walking,..\datasets\1 December 2017 Dataset\1P39A01R01.dat,9.233215738262013,32511954.448645107,1.2417115676944242e+17,352379279.7107151,0.7758620689655172,0.0012003058103975536,325.0200840944937,0.13045186943830053,0.9953839195206032,114746918.02132063,1.5331975784696732,0.14686688981697707,0.2586206896551725,0.9953839195206032,25.829741379310345,25.829741379310345,17305061077525.912,0.0,475.5000618842281,3.14,0.6788793103448276,0.21048400764372371,0.9997545911286279,6.0,0.6591104791140974,5.538988718141209,11.859557225055264,0.301286052576171,0.9777103342038365,0.9657546391218229,0.9059257795827937,0.9326832734908291
1P39A01R02,walking,..\datasets\1 December 2017 Dataset\1P39A01R02.dat,9.144503005384353,29964421.867454164,1.1918935317826877e+17,345238110.84274685,1.0344827586206897,0.001261467889908257,362.7971793505668,0.11101281288225545,0.9975215859825741,43716628.31426144,1.2767973482389714,0.10516544350706937,1.7133620689655173,0.9975215859825741,25.829741379310345,25.829741379310345,16405223999222.436,0.0,529.3575819121237,2.92,0.646551724137931,0.12157311604964104,0.9683914852281386,5.0,0.7534000045265334,4.616107287955055,12.042162110463881,0.28505788212496525,0.978643615217179,0.9658169060767912,0.9060041272087936,0.9328037141402996
